24940666	-77	21821439	-85
24950732	-62	21830801	-57
24960094	-87	21840161	-73
24970157	-89	21850246	-83
24979517	-45	21859606	-46
24988878	-45	21869672	-49
24998947	-46	21879033	-44
25008308	-46	21889103	-48
25018376	-88	21898466	-88
25027867	-86	21907958	-88
25038890	-90	21920542	-90
25049819	-72	21929903	-62
25059180	-87	21939969	-89
25068543	-83	21949329	-83
25078628	-70	21958692	-77
25087992	-88	21968781	-55
25098060	-47	21978143	-51
25107421	-44	21988210	-63
25117489	-41	21997572	-52
25126853	-47	22006933	-51
25136920	-41	22017004	-46
25146285	-44	22026367	-45
25156370	-73	22036432	-79
25165735	-76	22045795	-82
25175100	-88	22055863	-89
25185170	-85	22065227	-83
25194532	-59	22075313	-67
25204600	-60	22084676	-67
25213963	-59	22094745	-67
25224030	-83	22104109	-90
25233394	-47	22113471	-53
25243464	-42	22123540	-52
25252827	-42	22132904	-50
25262909	-43	22142971	-56
25272271	-93	22152335	-94
25281632	-84	22162401	-74
25291704	-91	22171762	-90
25301068	-89	22181847	-91
25311135	-89	22191208	-90
25320497	-90	22200889	-91
25330568	-89	22210640	-90
25339932	-88	22220004	-91
25346875	-87	22230071	-90
25359362	-89	22239431	-92
25369453	-45	22249497	-52
25378812	-49	22258857	-55
25388877	-45	22268943	-48
25398237	-43	22278304	-54
25407599	-84	22288369	-90
25417670	-88	22297732	-91
25427030	-85	22307412	-90
25437096	-86	22317162	-89
25446458	-88	22326524	-90
25456543	-90	22336589	-89
25465905	-89	22345950	-90
25475969	-89	22356016	-90
25485331	-89	22365377	-90
25495399	-87	22375463	-90
25504760	-43	22384824	-53
25514956	-47	22395025	-52
25526372	-44	22407219	-49
25536903	-89	22416969	-87
25546265	-89	22426331	-90
25556349	-88	22436399	-89
25565711	-85	22445762	-90
25575776	-85	22455828	-81
25585138	-86	22465192	-89
25595205	-88	22475275	-86
25604569	-89	22484639	-89
25614249	-89	22494707	-88
25624003	-89	22504071	-88
25633365	-90	22514047	-91
25643432	-43	22523410	-49
25653515	-45	22533384	-55
25662877	-43	22542746	-51
25672238	-45	22552814	-51
25682306	-88	22562178	-90
25691670	-88	22572262	-89
25701739	-90	22581625	-89
25711101	-86	22591599	-89
25721166	-89	22600961	-90
25730530	-89	22610640	-92
25740598	-88	22620391	-90
25749962	-88	22629753	-89
25759961	-89	22639821	-90
25769324	-70	22649185	-62
25779393	-39	22659253	-48
25788754	-41	22668613	-47
25798821	-29	22678701	-29
25808183	-42	22688062	-52
25817545	-41	22697425	-47
25827612	-89	22707495	-91
25836972	-88	22716857	-88
25847056	-88	22726919	-90
25856419	-88	22736280	-86
25866484	-84	22746344	-90
25875844	-87	22755706	-89
25885911	-89	22765790	-87
25895273	-86	22775151	-86
25905338	-88	22785215	-85
25914699	-38	22794577	-48
25924061	-42	22803937	-51
25934124	-44	22814004	-103
25943487	-44	22823367	-48
25953569	-44	22833433	-49
25962930	-66	22842795	-76
25972995	-73	22852861	-80
25982357	-45	22862225	-56
25992423	-45	22872313	-55
26001912	-42	22881804	-42
26014493	-37	22894386	-50
26023858	-38	22903747	-50
26033924	-43	22913812	-44
26043286	-89	22923174	-90
26053370	-42	22933240	-51
26062733	-51	22942605	-49
26072803	-60	22952674	-62
26082165	-38	22962037	-44
26091845	-44	22972120	-51
26101600	-89	22981485	-88
26110960	-88	22990846	-91
26121030	-87	23000917	-90
26130391	-84	23010279	-89
26140460	-90	23020346	-90
26149821	-84	23029709	-88
26159908	-84	23039777	-82
26169270	-57	23049139	-60
26179337	-59	23059207	-65
26188699	-59	23068569	-64
26198769	-43	23078267	-48
26208131	-38	23088019	-44
26217492	-79	23097381	-86
26227559	-45	23107449	-45
26236923	-45	23116810	-47
26247007	-72	23126877	-78
26256371	-43	23136239	-49
26266439	-39	23145604	-52
26275802	-72	23155671	-81
26285164	-84	23165035	-90
